Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Дом-музей Станиславского,Музеи,None,None,12.00-19.00,11.00-21.00,12.00-19.00,11.00-18.00,11.00-18.00,None,8 (495) 629-24-42+++ 8 (495) 629-28-55,Леонтьевский пер.+++ 6+++ стр. 1+++,55.7589528,37.602825
Дом-музей Шаляпина,Музеи,None,None,11.00-19.00,12.00-21.00,12.00-21.00,11.00-19.00,11.00-18.00,http://www.glinka.museum/,8 (495) 605-65-15 (доб. 1166 - касса+++ 1168 - администратор),Новинский б-р+++ 25+++,55.7545889,37.5833389
Дом-музей Щепкина,Музеи,None,None,12.00-19.00,13.00-21.00,12.00-19.00,12.00-19.00,12.00-19.00,http://www.gctm.ru/,8 (495) 600-61-49,Щепкина ул.+++ 47+++ стр. 2,55.7816833,37.6291306
Домик Петра I в Коломенском,Музеи,None,None,None,None,None,None,None,None,None,Проспект Андропова д.39С12,55.6673806,37.6670833
Еврейский музей и центр толерантности,Музеи,None,None,None,None,10.00-15.00,None,None,https://www.jewish-museum.ru,8 (495) 645-05-50,ул. Образцова д.11 строение 1А,55.7892611,37.6085833
Есенинский культурный центр,Музеи,None,None,None,None,None,None,None,http://esenin.ru/esenin-segodnia/muzei-s-a-esenina/eseninskii-kulturnyi-tcentr/vse-stranitcy,8 (499) 252-83-44,Сивцев Вражек пер.+++ дом 44/28+++ кв. 14,55.7464722,37.5860056
Жили-были. Музей русских сказок,Музеи,None,None,None,None,None,None,None,None,None,Измайловское ш. д.73Ж,55.7944611,37.7491639
Зоологический музей при МГУ,Музеи,None,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://zmmu.msu.ru/,8 (495) 629-44-35+++ 8 (495) 629-39-48,Большая Никитская ул.+++ д. 2/6,55.7558333,37.608975
Зоопарк,Цирки+++ зоопарки+++ океанариумы,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://www.moscowzoo.ru/,8 (499) 255-53-75+++ 8 (499) 252-35-80+++ 8 (499) 766-74-12,Большая Грузинская ул.+++ 1,55.7638833,37.5776528
Ивановский зал Российской Государственной библиотеки,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://www.rsl.ru/ru/s7/s381/2016/bookdesign,8 (800) 100-57-90 8 (499) 557-04-70 8 (495) 695-57-90,Воздвиженка ул.+++ д. 3/5+++ стр. 7+++ Российская государственная библиотека+++ Ивановский выставочный зал (вход со Староваганьковского переулка),55.7508944,37.6078528
Институт русского реалистического искусства,Музеи,None,11.00-20.00,11.00-20.00,12.00-21.00,11.00-20.00,11.00-20.00,11.00-20.00,http://rusrealart.ru/,8 (495) 276-12-12,Дербеневская набережная д. 7+++ стр. 31,55.7241861,37.6555278
Интерактивный музей в Театре на Таганке,Музеи,None,None,None,None,None,None,None,http://tagankateatr.ru/,8 (495) 915-12-17,Земляной вал ул.+++ д. 76/21. Театр на Таганке,55.7428,37.6537833
Историко-мемориальный музей Пресня (филиал Музея современной истории России),Музеи,None,None,None,None,None,None,None,None,None,Б.Предтеченский пер.+++ 4+++,55.7593583,37.5710833
Кабинет Давида в Государственном музее архитектуры им. А. Щусева,Музеи,None,11.00-20.00,11.00-20.00,13.00-21.00,11.00-20.00,11.00-20.00,11.00-20.00,http://muar.ru/,8 (495) 691-21-09,"Воздвиженка ул.+++ д. 5/25 Флигель ""Руина"" (вход со Староваганьковского пер.)",55.7524722,37.6071444
